iter	Logloss
0	0.6893513547
1	0.6857155815
2	0.6817357689
3	0.6783231791
4	0.6751536391
5	0.6718596783
6	0.6682031528
7	0.6644885294
8	0.6603522016
9	0.657537032
10	0.6545323704
11	0.6515956835
12	0.6482439089
13	0.6450161322
14	0.6424572041
15	0.6400338037
16	0.6368506281
17	0.6345235015
18	0.6321615757
19	0.6295574007
20	0.627076015
21	0.6248385181
22	0.6227325195
23	0.6205364364
24	0.618378556
25	0.6166246509
26	0.614158024
27	0.6125348468
28	0.6108530287
29	0.608811781
30	0.6071867297
31	0.605479587
32	0.6033430456
33	0.6018911706
34	0.6002642638
35	0.5986431858
36	0.5973839265
37	0.5958638798
38	0.5943404333
39	0.5927515023
40	0.5915420697
41	0.5902133904
42	0.5884570331
43	0.587205763
44	0.5857948171
45	0.5844271694
46	0.5834972679
47	0.5821292834
48	0.5806509948
49	0.5794574983
50	0.5780987096
51	0.5771213959
52	0.5760892744
53	0.5749852999
54	0.5736263127
55	0.572349103
56	0.5709825642
57	0.5698487421
58	0.5687818059
59	0.5673970166
60	0.566443864
61	0.5652091236
62	0.5640828514
63	0.5631425123
64	0.5615339302
65	0.56028187
66	0.5595068183
67	0.5584083637
68	0.5574718187
69	0.5567766335
70	0.5557004844
71	0.5545700183
72	0.5536752278
73	0.5529563493
74	0.5518261981
75	0.5505704534
76	0.5498246678
77	0.5489721604
78	0.5476648009
79	0.5466628545
80	0.5457252866
81	0.5443232764
82	0.5431799198
83	0.5422175563
84	0.5411606821
85	0.5400626818
86	0.5391715729
87	0.5380756249
88	0.5369982285
89	0.5356551965
90	0.5345641103
91	0.5334560024
92	0.5325949788
93	0.5317716065
94	0.5308071056
95	0.5297399589
96	0.5283816449
97	0.527578584
98	0.5267533882
99	0.525946544
100	0.5249621115
101	0.5242018048
102	0.5234920913
103	0.5226770453
104	0.5219619821
105	0.5209374572
106	0.5203582705
107	0.5195831766
108	0.5188652598
109	0.5180281321
110	0.5171514047
111	0.5166597574
112	0.5159780326
113	0.5151056334
114	0.514490922
115	0.5139472309
116	0.5133182074
117	0.5127768867
118	0.5121560862
119	0.5116546556
120	0.5108366664
121	0.5100276864
122	0.5092753365
123	0.5084533912
124	0.5077323135
125	0.5070423613
126	0.5062990977
127	0.5055716925
128	0.5049926125
129	0.5037640687
130	0.5032005145
131	0.5024336869
132	0.5017194172
133	0.5008882199
134	0.5000562238
135	0.4993865366
136	0.4984938032
137	0.4977894902
138	0.4971845772
139	0.4966414533
140	0.4960798573
141	0.4954549906
142	0.4946338523
143	0.493730089
144	0.4931044011
145	0.4924358771
146	0.4919094006
147	0.4914446859
148	0.4907068525
149	0.4903186909
150	0.4897522287
151	0.4888287444
152	0.4882157381
153	0.4875489074
154	0.4869214822
155	0.4861779045
156	0.4856100215
157	0.4850370248
158	0.4844092741
159	0.4836169337
160	0.4831507116
161	0.4823597054
162	0.482021924
163	0.4815733141
164	0.4809378508
165	0.4806031639
166	0.479974587
167	0.4796197626
168	0.4789242467
169	0.4780279546
170	0.4772480308
171	0.4767939375
172	0.4762235231
