iter	Passed	Remaining
0	64	64514
1	75	37488
2	85	28477
3	97	24319
4	108	21637
5	119	19755
6	131	18694
7	143	17764
8	153	16902
9	165	16419
10	180	16223
11	191	15801
12	202	15392
13	217	15334
14	229	15050
15	240	14766
16	250	14501
17	260	14229
18	270	13950
19	280	13720
20	289	13508
21	298	13287
22	309	13153
23	318	12958
24	328	12805
25	338	12696
26	348	12543
27	358	12448
28	368	12323
29	377	12210
30	387	12111
31	396	12008
32	408	11980
33	418	11895
34	428	11804
35	439	11779
36	449	11691
37	459	11622
38	471	11621
39	480	11538
40	490	11474
41	500	11417
42	510	11351
43	521	11321
44	530	11253
45	539	11196
46	553	11223
47	562	11161
48	572	11111
49	582	11067
50	591	11012
51	602	10984
52	618	11052
53	628	11011
54	638	10972
55	650	10957
56	660	10923
57	670	10884
58	680	10857
59	690	10813
60	701	10798
61	711	10764
62	721	10725
63	732	10715
64	742	10673
65	752	10643
66	764	10640
67	773	10603
68	784	10582
69	796	10577
70	806	10548
71	816	10526
72	830	10549
73	842	10537
74	851	10505
75	863	10498
76	875	10492
77	885	10472
78	897	10466
79	910	10468
80	922	10468
81	932	10442
82	944	10435
83	955	10418
84	966	10399
85	978	10397
86	992	10418
87	1002	10393
88	1014	10379
89	1025	10371
90	1040	10389
91	1049	10356
92	1055	10295
93	1061	10228
94	1066	10162
95	1071	10093
96	1076	10024
97	1082	9967
98	1089	9911
99	1093	9842
100	1102	9812
101	1107	9746
102	1111	9682
103	1119	9641
104	1123	9579
105	1128	9514
106	1134	9465
107	1139	9414
108	1144	9353
109	1150	9306
110	1154	9248
111	1159	9193
112	1166	9153
113	1170	9099
114	1174	9041
115	1179	8985
116	1185	8944
117	1189	8888
118	1194	8840
119	1202	8815
120	1206	8765
121	1213	8732
122	1219	8697
123	1225	8657
124	1233	8633
125	1238	8590
126	1243	8547
127	1249	8510
128	1253	8461
129	1257	8414
130	1262	8375
131	1268	8338
132	1272	8294
133	1276	8248
134	1280	8202
135	1284	8162
136	1288	8118
137	1293	8076
138	1297	8038
139	1301	7994
140	1305	7953
141	1309	7914
142	1314	7880
143	1319	7841
144	1322	7799
145	1328	7768
146	1332	7730
147	1336	7696
148	1341	7660
149	1345	7623
150	1349	7588
151	1353	7552
152	1358	7519
153	1362	7486
154	1366	7447
155	1369	7409
156	1374	7379
157	1378	7343
158	1381	7309
159	1386	7281
160	1392	7254
161	1397	7227
162	1402	7203
163	1408	7178
164	1413	7152
165	1419	7129
166	1423	7099
167	1428	7074
168	1432	7042
169	1436	7014
170	1442	6992
171	1447	6967
172	1451	6938
173	1457	6919
174	1462	6896
175	1468	6873
176	1472	6848
177	1478	6828
178	1482	6801
179	1487	6777
180	1491	6749
181	1496	6725
182	1500	6696
183	1506	6680
184	1510	6656
185	1515	6632
186	1522	6617
187	1525	6591
188	1529	6564
189	1534	6543
190	1539	6520
191	1544	6498
192	1548	6473
193	1552	6449
194	1556	6426
195	1561	6403
196	1567	6389
197	1572	6371
198	1578	6354
199	1583	6335
200	1589	6316
201	1593	6296
202	1597	6272
203	1602	6253
204	1606	6231
205	1611	6209
206	1616	6194
207	1622	6176
208	1627	6160
209	1634	6147
210	1639	6130
211	1644	6113
212	1650	6097
213	1655	6080
214	1660	6062
215	1667	6050
216	1672	6036
217	1677	6016
218	1684	6007
219	1689	5991
220	1694	5973
221	1700	5959
222	1706	5946
223	1711	5928
224	1716	5912
225	1721	5896
226	1726	5880
227	1732	5866
228	1737	5850
229	1741	5831
230	1747	5817
231	1752	5801
232	1756	5782
233	1762	5770
234	1767	5753
235	1771	5735
236	1776	5718
237	1781	5703
238	1786	5688
239	1790	5670
240	1797	5659
241	1801	5644
242	1805	5625
243	1812	5614
244	1816	5597
245	1821	5581
246	1827	5570
247	1831	5553
248	1836	5538
249	1841	5523
250	1851	5524
251	1855	5508
252	1861	5496
253	1866	5482
254	1871	5467
255	1877	5457
256	1883	5444
257	1888	5429
258	1893	5418
259	1899	5404
260	1903	5389
261	1909	5378
262	1914	5364
263	1918	5348
264	1924	5338
265	1929	5324
266	1934	5309
267	1940	5299
268	1944	5284
269	1949	5270
270	1955	5259
271	1959	5245
272	1964	5231
273	1969	5218
274	1974	5204
275	1978	5191
276	1983	5176
277	1989	5166
278	1994	5155
279	1999	5140
280	2006	5133
281	2010	5119
282	2014	5104
283	2021	5095
284	2026	5082
285	2030	5068
286	2037	5060
287	2041	5047
288	2046	5034
289	2052	5024
290	2056	5010
291	2062	4999
292	2068	4990
293	2072	4977
294	2077	4964
295	2082	4953
296	2087	4941
297	2093	4930
298	2098	4919
299	2103	4908
300	2108	4895
301	2112	4882
302	2118	4872
303	2123	4860
304	2126	4846
305	2132	4837
306	2137	4825
307	2141	4812
308	2146	4800
309	2151	4788
310	2155	4775
311	2159	4760
312	2164	4751
313	2168	4738
314	2173	4726
315	2178	4714
316	2183	4705
317	2188	4692
318	2192	4680
319	2199	4674
320	2204	4662
321	2208	4650
322	2214	4641
323	2219	4630
324	2222	4616
325	2227	4606
326	2232	4595
327	2237	4583
328	2242	4573
329	2247	4563
330	2252	4552
331	2256	4539
332	2262	4531
333	2266	4519
334	2270	4507
335	2275	4497
336	2280	4486
337	2284	4474
338	2287	4461
339	2296	4457
340	2300	4446
341	2304	4433
342	2311	4426
343	2315	4415
344	2319	4403
345	2326	4397
346	2330	4385
347	2334	4373
348	2338	4361
349	2343	4351
350	2347	4339
351	2350	4327
352	2354	4314
353	2359	4305
354	2363	4293
355	2366	4281
356	2370	4269
357	2375	4260
358	2379	4249
359	2383	4236
360	2387	4226
361	2392	4217
362	2397	4206
363	2400	4194
364	2405	4185
365	2410	4174
366	2414	4163
367	2418	4153
368	2423	4144
369	2428	4134
370	2432	4124
371	2438	4116
372	2442	4105
373	2446	4095
374	2450	4084
375	2456	4076
376	2460	4065
377	2463	4054
378	2468	4044
379	2473	4036
380	2477	4025
381	2481	4013
382	2485	4004
383	2490	3994
384	2494	3984
385	2497	3973
386	2503	3966
387	2507	3955
388	2511	3944
389	2515	3934
390	2520	3926
391	2524	3915
392	2528	3904
393	2532	3895
394	2537	3886
395	2541	3876
396	2544	3865
397	2549	3855
398	2553	3846
399	2557	3836
400	2561	3825
401	2565	3816
402	2570	3807
403	2574	3797
404	2578	3787
405	2585	3783
406	2589	3773
407	2593	3763
408	2599	3756
409	2604	3747
410	2608	3737
411	2612	3727
412	2617	3720
413	2621	3711
414	2625	3701
415	2629	3691
416	2634	3683
417	2638	3673
418	2641	3663
419	2646	3655
420	2651	3646
421	2654	3636
422	2658	3626
423	2663	3618
424	2668	3609
425	2671	3600
426	2675	3590
427	2680	3582
428	2685	3573
429	2689	3564
430	2692	3554
431	2697	3546
432	2701	3537
433	2705	3527
434	2708	3518
435	2714	3511
436	2718	3501
437	2721	3492
438	2725	3483
439	2731	3475
440	2734	3466
441	2738	3457
442	2742	3447
443	2746	3439
444	2750	3430
445	2754	3421
446	2758	3412
447	2763	3405
448	2767	3395
449	2770	3386
450	2774	3377
451	2779	3370
452	2783	3361
453	2787	3352
454	2792	3344
455	2796	3336
456	2800	3327
457	2804	3319
458	2810	3312
459	2814	3303
460	2818	3294
461	2822	3286
462	2827	3279
463	2831	3270
464	2834	3261
465	2838	3252
466	2843	3245
467	2847	3236
468	2851	3228
469	2855	3220
470	2860	3212
471	2864	3204
472	2867	3195
473	2872	3187
474	2877	3179
475	2880	3171
476	2884	3162
477	2890	3156
478	2894	3147
479	2898	3139
480	2902	3132
481	2908	3125
482	2912	3117
483	2916	3109
484	2921	3102
485	2925	3094
486	2929	3086
487	2933	3077
488	2937	3070
489	2942	3062
490	2947	3055
491	2950	3046
492	2956	3040
493	2960	3032
494	2964	3024
495	2968	3016
496	2973	3009
497	2978	3002
498	2982	2994
499	2988	2988
500	2992	2980
501	2996	2972
502	3002	2966
503	3007	2959
504	3011	2952
505	3019	2947
506	3024	2940
507	3028	2933
508	3033	2925
509	3038	2919
510	3043	2912
511	3047	2904
512	3053	2898
513	3057	2891
514	3062	2883
515	3067	2877
516	3072	2870
517	3076	2862
518	3082	2857
519	3087	2850
520	3092	2842
521	3098	2837
522	3103	2830
523	3108	2823
524	3113	2817
525	3119	2810
526	3124	2803
527	3129	2797
528	3134	2790
529	3139	2783
530	3143	2776
531	3149	2770
532	3154	2763
533	3158	2756
534	3163	2749
535	3168	2743
536	3173	2736
537	3179	2730
538	3184	2723
539	3189	2716
540	3194	2710
541	3199	2703
542	3204	2697
543	3209	2690
544	3214	2683
545	3218	2676
546	3223	2669
547	3228	2663
548	3233	2656
549	3237	2649
550	3242	2642
551	3248	2636
552	3252	2629
553	3257	2622
554	3262	2616
555	3267	2609
556	3271	2602
557	3277	2596
558	3282	2589
559	3286	2582
560	3293	2577
561	3298	2570
562	3302	2563
563	3308	2557
564	3314	2552
565	3319	2545
566	3325	2539
567	3330	2532
568	3334	2525
569	3338	2518
570	3344	2512
571	3348	2505
572	3352	2498
573	3358	2492
574	3363	2485
575	3367	2478
576	3374	2473
577	3377	2466
578	3382	2459
579	3385	2451
580	3393	2447
581	3406	2446
582	3411	2440
583	3415	2433
584	3424	2429
585	3429	2422
586	3432	2415
587	3438	2409
588	3442	2402
589	3446	2395
590	3450	2387
591	3455	2381
592	3459	2374
593	3463	2367
594	3468	2360
595	3472	2353
596	3476	2347
597	3480	2339
598	3485	2333
599	3489	2326
600	3493	2319
601	3496	2311
602	3501	2305
603	3506	2299
604	3510	2292
605	3514	2284
606	3519	2278
607	3523	2271
608	3527	2264
609	3532	2258
610	3537	2251
611	3540	2244
612	3544	2237
613	3548	2230
614	3553	2224
615	3557	2217
616	3561	2210
617	3567	2205
618	3572	2198
619	3575	2191
620	3580	2185
621	3585	2178
622	3589	2171
623	3593	2165
624	3597	2158
625	3602	2152
626	3606	2145
627	3609	2138
628	3614	2131
629	3619	2125
630	3623	2118
631	3626	2111
632	3631	2105
633	3635	2098
634	3639	2091
635	3642	2084
636	3648	2079
637	3652	2072
638	3656	2065
639	3659	2058
640	3665	2052
641	3669	2045
642	3672	2039
643	3676	2032
644	3681	2026
645	3685	2019
646	3688	2012
647	3693	2006
648	3698	2000
649	3702	1993
650	3705	1986
651	3709	1980
652	3714	1973
653	3718	1967
654	3722	1960
655	3726	1954
656	3731	1947
657	3734	1941
658	3738	1934
659	3742	1927
660	3747	1921
661	3750	1915
662	3754	1908
663	3759	1902
664	3763	1896
665	3768	1889
666	3771	1883
667	3777	1877
668	3781	1871
669	3786	1864
670	3790	1858
671	3795	1852
672	3800	1846
673	3803	1839
674	3808	1833
675	3812	1827
676	3816	1821
677	3820	1814
678	3825	1808
679	3829	1802
680	3833	1795
681	3836	1788
682	3841	1782
683	3845	1776
684	3848	1769
685	3852	1763
686	3856	1757
687	3860	1750
688	3864	1744
689	3867	1737
690	3872	1731
691	3877	1725
692	3880	1719
693	3884	1712
694	3888	1706
695	3892	1700
696	3897	1694
697	3900	1687
698	3905	1681
699	3909	1675
700	3913	1669
701	3916	1662
702	3921	1656
703	3925	1650
704	3929	1644
705	3932	1637
706	3940	1633
707	3944	1626
708	3947	1620
709	3952	1614
710	3956	1608
711	3961	1602
712	3964	1595
713	3970	1590
714	3974	1584
715	3978	1578
716	3982	1571
717	3987	1565
718	3991	1559
719	3994	1553
720	3998	1547
721	4003	1541
722	4007	1535
723	4011	1529
724	4015	1522
725	4020	1517
