iter	Passed	Remaining
0	86	86406
1	129	64379
2	173	57743
3	225	56138
4	276	55065
5	322	53498
6	370	52553
7	410	50884
8	459	50565
9	493	48837
10	539	48467
11	585	48220
12	628	47711
13	672	47369
14	717	47121
15	760	46743
16	805	46557
17	844	46097
18	888	45864
19	931	45622
20	977	45586
21	1024	45539
22	1068	45386
23	1110	45157
24	1145	44684
25	1189	44559
26	1237	44593
27	1282	44527
28	1329	44517
29	1369	44279
30	1419	44379
31	1462	44235
32	1509	44221
33	1550	44045
34	1601	44157
35	1647	44112
36	1695	44141
37	1740	44058
38	1781	43889
39	1824	43779
40	1871	43766
41	1923	43865
42	1970	43853
43	2018	43862
44	2053	43581
45	2100	43557
46	2152	43646
47	2198	43607
48	2237	43429
49	2289	43499
50	2336	43476
51	2371	43239
52	2413	43122
53	2459	43082
54	2501	42978
55	2533	42715
56	2577	42634
57	2629	42704
58	2672	42626
59	2717	42574
60	2755	42413
61	2800	42372
62	2849	42380
63	2882	42162
64	2929	42146
65	2976	42125
66	3020	42057
67	3067	42039
68	3107	41922
69	3154	41911
70	3203	41911
71	3242	41787
72	3295	41844
73	3342	41832
74	3386	41770
75	3435	41765
76	3472	41619
77	3520	41608
78	3567	41591
79	3605	41464
80	3654	41460
81	3698	41400
82	3736	41277
83	3782	41249
84	3828	41213
85	3864	41072
86	3912	41062
87	3965	41097
88	4011	41065
89	4050	40959
90	4101	40966
91	4144	40904
92	4189	40857
93	4230	40778
94	4272	40697
95	4320	40680
96	4361	40600
97	4393	40440
98	4440	40409
99	4486	40382
100	4529	40314
101	4569	40229
102	4618	40219
103	4661	40157
104	4698	40045
105	4744	40014
106	4794	40016
107	4832	39912
108	4881	39899
109	4927	39871
110	4966	39774
111	5014	39755
112	5057	39695
113	5098	39623
114	5140	39557
115	5181	39489
116	5225	39435
117	5266	39368
118	5314	39342
119	5357	39285
120	5387	39140
121	5434	39108
122	5474	39030
123	5522	39014
124	5556	38895
125	5600	38848
126	5634	38733
127	5667	38612
128	5712	38567
129	5759	38547
130	5808	38534
131	5848	38457
132	5897	38447
133	5938	38381
134	5973	38273
135	6020	38246
136	6071	38244
137	6108	38157
138	6157	38139
139	6204	38116
140	6243	38037
141	6292	38022
142	6337	37978
143	6382	37941
144	6425	37890
145	6470	37850
146	6506	37753
147	6555	37738
148	6603	37714
149	6641	37634
150	6692	37630
151	6740	37604
152	6791	37599
153	6835	37549
154	6884	37533
155	6924	37462
156	6970	37430
157	7019	37406
158	7059	37338
159	7104	37296
160	7152	37270
161	7190	37196
162	7241	37185
163	7282	37122
164	7321	37051
165	7367	37017
166	7414	36985
167	7454	36917
168	7500	36881
169	7551	36870
170	7589	36795
171	7638	36770
172	7680	36717
173	7719	36647
174	7768	36622
175	7812	36574
176	7851	36507
177	7901	36486
178	7949	36460
179	7988	36393
180	8039	36376
181	8084	36333
182	8130	36300
183	8176	36262
184	8210	36169
185	8257	36136
186	8305	36110
187	8351	36071
188	8393	36017
189	8425	35917
190	8468	35869
191	8521	35861
192	8564	35811
193	8612	35780
194	8649	35705
195	8696	35672
196	8746	35652
197	8788	35599
198	8839	35581
199	8874	35499
200	8918	35450
201	8962	35407
202	9006	35362
203	9038	35266
204	9085	35235
205	9125	35173
206	9174	35145
207	9208	35064
208	9235	34954
209	9287	34939
210	9322	34861
211	9365	34810
212	9414	34785
213	9460	34745
214	9509	34722
215	9553	34674
216	9601	34644
217	9639	34576
218	9680	34524
219	9722	34469
220	9758	34395
221	9805	34362
222	9855	34339
223	9896	34283
224	9943	34251
225	9987	34203
226	10026	34141
227	10076	34120
228	10120	34073
229	10160	34014
230	10208	33985
231	10256	33952
232	10297	33897
233	10345	33865
234	10387	33816
235	10435	33784
236	10472	33716
237	10521	33687
238	10566	33645
239	10614	33613
240	10652	33547
241	10701	33519
242	10750	33490
243	10792	33437
244	10838	33400
245	10882	33354
246	10920	33291
247	10968	33259
248	11017	33228
249	11055	33167
250	11105	33138
251	11149	33095
252	11198	33063
253	11235	32997
254	11282	32963
255	11332	32934
256	11368	32868
257	11417	32836
258	11465	32802
259	11504	32742
260	11551	32706
261	11595	32661
262	11627	32584
263	11671	32538
264	11720	32508
265	11763	32459
266	11810	32422
267	11849	32365
268	11902	32345
269	11945	32297
270	11984	32239
271	12035	32211
272	12082	32174
